_id,Location ID,Country,State,City,Address,Street,Postal Code,Coordinates.Latitude,Coordinates.Longitude
64ea5e0afe4f979a95e9dd37,L1,Isle of Man,Oregon,Lake Tiffany,739 Elizabeth Shores,Hamilton Keys,93086,1.591503,-91.056732
64ea5e0afe4f979a95e9dd38,L2,Guinea,Tennessee,North Sandraland,63826 Peter Flat,Rocha Ranch,51296,-25.388132,148.833133
64ea5e0afe4f979a95e9dd39,L3,Mexico,New Hampshire,Reyesmouth,357 Dominique Islands Apt. 421,Harold Lakes,56828,30.798191,-157.128845
64ea5e0afe4f979a95e9dd3a,L4,Finland,Florida,Duranport,2346 Hill Ramp,Navarro Dam,27642,-37.803586,64.623221
64ea5e0afe4f979a95e9dd3b,L5,Jamaica,Illinois,Scottmouth,949 Johnson Ferry,Michael Lake,63770,-59.822651,43.947443
64ea5e0afe4f979a95e9dd3c,L6,Belgium,Kansas,Lake Thomasview,80377 Alisha Mountains Suite 914,Jackson Pine,13750,-51.9415945,-113.800565
64ea5e0afe4f979a95e9dd3d,L7,Uzbekistan,Missouri,Claudialand,65422 Kenneth Mountain,Cunningham Springs,52962,71.118559,160.251033
64ea5e0afe4f979a95e9dd3e,L8,Ghana,Arkansas,Lake Charles,8847 Johnson Mountain Suite 607,Lori Junctions,87148,-49.1170305,-168.916221
64ea5e0afe4f979a95e9dd3f,L9,Madagascar,Kansas,North Richardborough,815 Glover Burg Apt. 644,Bailey Forge,19772,50.247109,-30.560556
64ea5e0afe4f979a95e9dd40,L10,Denmark,Vermont,Cordovamouth,320 Kayla Route,Wright Corners,18409,-66.684709,-70.554345
